epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,2561.09,1.01822,0.56162,0.87334,0.89226,0.84053,0.89388,0.60992,1.07837,0.54466,1.03067,0.0014456,0.0014456,0.0014456
16,2732.14,1.00676,0.57372,0.86263,0.89484,0.84053,0.89222,0.59524,1.02988,0.54156,0.94717,0.001406,0.001406,0.001406
17,2908.24,0.96568,0.54825,0.86981,0.95084,0.81051,0.89646,0.61573,1.02273,0.5686,0.90785,0.0013664,0.0013664,0.0013664
18,3084.85,0.98684,0.55478,0.85509,0.92391,0.84286,0.90884,0.61381,1.07002,0.51689,1.02643,0.0013268,0.0013268,0.0013268
19,3256.31,0.98318,0.51758,0.86391,0.94473,0.83381,0.90307,0.61096,1.07776,0.51803,0.97483,0.0012872,0.0012872,0.0012872
20,3430.93,0.98353,0.51073,0.86258,0.92882,0.83237,0.8986,0.60774,1.07333,0.5105,0.98975,0.0012476,0.0012476,0.0012476
21,3606.92,0.98671,0.52246,0.86706,0.92784,0.83865,0.90304,0.61446,1.0595,0.5264,0.98055,0.001208,0.001208,0.001208
22,3778.5,0.97981,0.51873,0.85273,0.95253,0.82827,0.89956,0.60844,1.07866,0.4893,0.98015,0.0011684,0.0011684,0.0011684
23,3951.09,0.96223,0.51699,0.85475,0.94856,0.8424,0.90512,0.59664,1.06212,0.51259,0.99716,0.0011288,0.0011288,0.0011288
24,4123.06,0.943,0.50778,0.86401,0.94656,0.83865,0.90684,0.60772,1.04767,0.49895,0.99642,0.0010892,0.0010892,0.0010892
25,4295.08,0.95852,0.50335,0.84956,0.92875,0.84991,0.90659,0.61069,1.06893,0.50379,1.03103,0.0010496,0.0010496,0.0010496
26,4465.81,0.93652,0.49577,0.85148,0.942,0.8532,0.91407,0.62338,1.04713,0.47914,1.00593,0.00101,0.00101,0.00101
27,4636.58,0.91574,0.49096,0.84915,0.90122,0.85588,0.91208,0.60867,1.04101,0.51126,0.97064,0.0009704,0.0009704,0.0009704
28,4813.5,0.8842,0.47427,0.84622,0.95272,0.83182,0.91446,0.6186,1.04361,0.52091,0.93789,0.0009308,0.0009308,0.0009308
29,4992.38,0.90699,0.48358,0.85081,0.91526,0.85112,0.90144,0.60478,1.02639,0.48513,0.92024,0.0008912,0.0008912,0.0008912
30,5174.04,0.90038,0.47327,0.84369,0.94441,0.82878,0.90377,0.60536,1.01726,0.50462,0.92288,0.0008516,0.0008516,0.0008516
31,5348.03,0.90549,0.47738,0.85265,0.94486,0.84803,0.91011,0.63198,0.99641,0.48671,0.92903,0.000812,0.000812,0.000812
32,5521.31,0.86354,0.45846,0.84704,0.91599,0.85922,0.91136,0.62279,0.98481,0.49501,0.90368,0.0007724,0.0007724,0.0007724
33,5694.77,0.87126,0.45262,0.83801,0.91675,0.8471,0.90074,0.61232,1.0134,0.50213,0.9151,0.0007328,0.0007328,0.0007328
34,5867.29,0.86927,0.44956,0.83698,0.93307,0.8424,0.91124,0.62242,1.02349,0.48211,0.92146,0.0006932,0.0006932,0.0006932
35,6061.61,0.88151,0.44668,0.83662,0.93998,0.85207,0.91199,0.62682,1.00872,0.48416,0.91172,0.0006536,0.0006536,0.0006536
36,6258.92,0.87173,0.45,0.83962,0.93725,0.84073,0.9142,0.62854,0.98794,0.46165,0.90038,0.000614,0.000614,0.000614
37,6456.56,0.83558,0.42877,0.8341,0.93786,0.84946,0.91733,0.6397,0.96883,0.45372,0.91739,0.0005744,0.0005744,0.0005744
38,6654.63,0.85496,0.4387,0.83357,0.93896,0.84053,0.91684,0.63848,1.00575,0.4737,0.93839,0.0005348,0.0005348,0.0005348
39,6852.21,0.82468,0.41799,0.82924,0.94138,0.85741,0.91932,0.64309,0.96235,0.44751,0.92997,0.0004952,0.0004952,0.0004952
40,7051.77,0.83686,0.42156,0.83498,0.95117,0.84991,0.92262,0.64675,1.01394,0.44948,0.94263,0.0004556,0.0004556,0.0004556
41,7241.19,0.80829,0.40875,0.82711,0.93004,0.85741,0.91427,0.64168,1.0089,0.44608,0.95709,0.000416,0.000416,0.000416
42,7424.03,0.80139,0.40459,0.83027,0.93847,0.84428,0.91111,0.64138,0.98463,0.44473,0.93455,0.0003764,0.0003764,0.0003764
43,7606.91,0.80231,0.40449,0.83266,0.92549,0.83894,0.91096,0.64397,0.99171,0.46369,0.93739,0.0003368,0.0003368,0.0003368
44,7789.07,0.79651,0.39087,0.82846,0.94627,0.84428,0.9089,0.63127,0.98667,0.45223,0.92303,0.0002972,0.0002972,0.0002972
45,7980.01,0.80782,0.39491,0.82251,0.9402,0.85544,0.91678,0.63936,0.98825,0.4391,0.922,0.0002576,0.0002576,0.0002576
46,8166.49,0.78239,0.37999,0.83074,0.95031,0.84991,0.92057,0.64572,0.99778,0.44063,0.928,0.000218,0.000218,0.000218
47,8354.42,0.7701,0.37781,0.82862,0.94429,0.85868,0.92297,0.64911,0.98795,0.42315,0.93558,0.0001784,0.0001784,0.0001784
48,8537.24,0.7754,0.37553,0.82772,0.93344,0.86827,0.92315,0.64929,0.9946,0.43498,0.93225,0.0001388,0.0001388,0.0001388
49,8708.61,0.75887,0.37487,0.82265,0.93714,0.86706,0.92287,0.64293,0.98999,0.42982,0.92744,9.92e-05,9.92e-05,9.92e-05
50,8878.24,0.73763,0.3598,0.82416,0.93667,0.86679,0.91874,0.64478,0.99921,0.42882,0.94238,5.96e-05,5.96e-05,5.96e-05
