epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.825,1.42959,2.63826,1.01102,0.59406,0.70544,0.51536,0.30449,1.17743,4.35917,0.90526,0.00054,0.00054,0.00054
2,347.544,1.23473,0.8433,0.90453,0.1971,0.69606,0.16614,0.08853,1.2751,16.4339,1.02021,0.00107822,0.00107822,0.00107822
3,519.075,1.22359,0.78714,0.91629,0.50456,0.50094,0.39178,0.23739,1.31343,1.71302,1.07883,0.00159426,0.00159426,0.00159426
4,688.652,1.19818,0.7642,0.91397,0.83931,0.67615,0.78773,0.49105,1.16856,1.06041,0.98915,0.0018812,0.0018812,0.0018812
5,857.15,1.17218,0.71372,0.9106,0.86805,0.72983,0.79858,0.46493,1.32581,0.88808,1.11403,0.0018416,0.0018416,0.0018416
6,1023.37,1.15789,0.67134,0.9001,0.90598,0.75933,0.82786,0.51575,1.21141,0.72656,1.0123,0.001802,0.001802,0.001802
7,1193.35,1.14541,0.65896,0.89985,0.92512,0.76548,0.85043,0.53751,1.19505,0.78877,1.06344,0.0017624,0.0017624,0.0017624
8,1368.9,1.09648,0.65848,0.8849,0.88147,0.74109,0.82266,0.50622,1.18651,0.7523,0.97122,0.0017228,0.0017228,0.0017228
9,1541.27,1.11093,0.64995,0.88271,0.90386,0.78987,0.86515,0.54719,1.15914,0.60441,0.99441,0.0016832,0.0016832,0.0016832
10,1708.37,1.05975,0.60561,0.879,0.91836,0.802,0.88598,0.58528,1.123,0.5888,0.99669,0.0016436,0.0016436,0.0016436
11,1879.74,1.07873,0.59502,0.8815,0.92501,0.79362,0.87337,0.56173,1.14495,0.60507,1.06068,0.001604,0.001604,0.001604
12,2049.45,1.10232,0.64101,0.88433,0.9267,0.83014,0.87805,0.5661,1.1291,0.59641,0.98642,0.0015644,0.0015644,0.0015644
13,2218.13,1.04791,0.588,0.87706,0.93518,0.79925,0.89128,0.58915,1.16811,0.60515,1.04787,0.0015248,0.0015248,0.0015248
14,2388.32,1.01907,0.58483,0.8759,0.91951,0.81238,0.88356,0.6034,1.07336,0.55118,0.9684,0.0014852,0.0014852,0.0014852
